0,1
thyssenkrupp Intellectual Property GmbH,Essen
thyssenkrupp Management Consulting GmbH,Düsseldorf
thyssenkrupp Marine Systems GmbH,Kiel
thyssenkrupp Materials Business Services GmbH,Essen
thyssenkrupp Materials DataflowWorks GmbH,Essen
thyssenkrupp Materials IoT GmbH,Essen
thyssenkrupp Materials Processing Europe GmbH,Krefeld
thyssenkrupp Materials Services GmbH,Essen
thyssenkrupp Materials Trading GmbH,Essen
thyssenkrupp nucera Participations GmbH,Dortmund
thyssenkrupp Plastics GmbH,Essen
thyssenkrupp Polysius GmbH,Essen
thyssenkrupp Presta Mülheim GmbH,Mülheim
thyssenkrupp Presta Schönebeck GmbH,Schönebeck
thyssenkrupp Projekt 1 GmbH,Essen
thyssenkrupp Rasselstein GmbH,Andernach
thyssenkrupp rothe erde Germany GmbH,Dortmund
thyssenkrupp Schulte GmbH,Essen
thyssenkrupp Senior Experts GmbH,Essen
thyssenkrupp Services GmbH,Essen
thyssenkrupp smart steel GmbH,Duisburg
thyssenkrupp Stainless GmbH,Essen
thyssenkrupp Steel Business Services GmbH,Duisburg
thyssenkrupp Steel Europe AG,Duisburg
thyssenkrupp Steel Logistics GmbH,Duisburg
thyssenkrupp Technologies Beteiligungen GmbH,Essen
thyssenkrupp Transrapid GmbH,Kassel
thyssenkrupp Uhde Engineering Services GmbH,Dortmund
thyssenkrupp Uhde GmbH,Essen
thyssenkrupp USA Holding AG & Co KG,Essen
U Uhde High Pressure Technologies GmbH,Hagen
Uhde Inventa-Fischer GmbH,Berlin
